person,trial,x,y,dur,on,off,n,timeInt,block
9,1,940.1,551,1451,4,1454,1,waiting,1
9,1,785.6,552.6,820,1481,2300,2,dotOff,1
9,2,950.9,547.2,2043,-279,1763,1,waiting,1
9,2,770.8,546.5,245,1794,2038,2,targOff,1
9,2,796.6,543.8,166,2049,2214,3,targOff,1
9,3,950.9,545.9,1388,-32,1355,1,waiting,1
9,3,799.2,549.9,2252,1380,3631,2,dotOff,1
9,4,948.9,542.1,1070,95,1164,1,waiting,1
9,5,950.4,547.3,1909,-274,1634,1,waiting,1
9,5,1103.5,541.3,371,1661,2031,2,targOff,1
9,6,950.6,546.6,1635,-274,1360,1,waiting,1
9,6,1095,551.7,380,1384,1763,2,dotOff,1
9,6,1117.6,549.1,674,1774,2447,3,dotOff,1
9,7,942.8,540.4,1404,-52,1351,1,waiting,1
9,7,1114.2,539.8,819,1380,2198,2,dotOff,1
9,8,952.6,555.3,305,-272,32,1,waiting,1
9,8,948.5,541.7,1051,197,1247,2,waiting,1
9,9,946.1,550.3,1707,-272,1434,1,waiting,1
9,9,790.2,549.5,840,1459,2298,2,dotOff,1
9,10,962.5,543.2,422,-274,147,1,waiting,1
9,10,948.6,543.3,839,243,1081,2,waiting,1
9,11,945.3,533.7,1603,-274,1328,1,waiting,1
9,11,1104.8,544.7,678,1354,2031,2,dotOff,1
9,12,951.8,542.1,1408,-37,1370,1,waiting,1
9,12,796.3,551,719,1396,2114,2,dotOff,1
9,13,944.5,546.9,1444,-30,1413,1,waiting,1
9,13,771.6,547,328,1439,1766,2,targOff,1
9,14,942,544.1,1620,-278,1341,1,waiting,1
9,14,803.7,542.6,428,1365,1792,2,targOff,1
9,15,944.9,544.2,1542,-273,1268,1,waiting,1
9,15,1105.1,541.5,923,1296,2218,2,dotOff,1
9,16,948.5,543,1833,-272,1560,1,waiting,1
9,16,1112.3,539.1,211,1587,1797,2,targOff,1
9,17,955.5,542.2,1502,-274,1227,1,waiting,1
9,17,1104.5,542.6,628,1253,1880,2,targVis,1
9,18,950,538.7,247,-66,180,1,waiting,1
9,18,948.7,533.4,574,341,914,2,waiting,1
9,19,951.7,542.6,1787,-272,1514,1,waiting,1
9,19,789.6,543.6,344,1539,1882,2,targOff,1
9,20,942.5,544.3,1813,-274,1538,1,waiting,1
9,20,795.2,540.5,568,1564,2131,2,dotOff,1
9,21,894.6,472.4,201,300,500,1,waiting,1
9,21,898,535.7,154,522,675,2,waiting,1
9,21,940.5,544.6,546,698,1243,3,waiting,1
9,22,951.3,539.5,1811,-272,1538,1,waiting,1
9,22,1091.3,541.6,233,1563,1795,2,targOff,1
9,22,1122.5,539.6,68,1814,1881,3,targOff,1
9,23,954.3,541.2,1667,-33,1633,1,waiting,1
9,23,800.3,536.3,386,1658,2043,2,targOff,1
9,24,953,543.1,1542,-273,1268,1,waiting,1
9,24,789.3,539.1,675,1293,1967,2,dotOff,1
9,25,950.4,539.1,1638,-275,1362,1,waiting,1
9,25,784.9,545.4,743,1389,2131,2,dotOff,1
9,26,949.7,541.9,2005,-143,1861,1,waiting,1
9,26,858.8,541.1,137,1884,2020,2,targOff,1
9,27,942.1,543.6,1193,-42,1150,1,waiting,1
9,27,1096.4,544.1,705,1177,1881,2,dotOff,1
9,28,950.6,539.8,1401,-11,1389,1,waiting,1
9,28,1107.9,543.1,384,1414,1797,2,targOff,1
9,29,954.2,542.3,1034,-273,760,1,waiting,1
9,29,798.7,534.1,296,786,1081,2,waiting,1
9,30,949.5,542.4,1383,-277,1105,1,waiting,1
9,30,1093.7,543.2,665,1129,1793,2,dotOff,1
9,31,950.1,542.2,1577,-23,1553,1,waiting,1
9,31,807.5,544,258,1577,1834,2,targOff,1
9,31,784.5,544.9,200,1844,2043,3,targOff,1
9,32,953.3,547.3,2063,-271,1791,1,waiting,1
9,32,779,543.7,239,1826,2064,2,targOff,1
9,33,945.7,544,1803,-277,1525,1,waiting,1
9,33,1121.8,541.3,438,1549,1986,2,targOff,1
9,33,1056.3,539.2,44,2001,2044,3,targOff,1
9,34,951.7,544.8,1693,-274,1418,1,waiting,1
9,34,1097,549.3,773,1442,2214,2,dotOff,1
9,35,948.6,544.2,1816,-274,1541,1,waiting,1
9,35,1100.8,538.5,414,1567,1980,2,targOff,1
9,36,963.5,553.9,203,-53,149,1,waiting,1
9,36,947.6,554.8,1188,157,1344,2,waiting,1
9,36,1102.8,549.2,679,1369,2047,3,dotOff,1
9,1,947.8,544.8,1799,-1,1797,1,waiting,2
9,2,950.8,545.6,2480,-281,2198,1,waiting,2
9,3,945.4,546.6,2329,-283,2045,1,waiting,2
9,4,941.7,546.4,2396,-281,2114,1,waiting,2
9,5,954,545.7,2080,-281,1798,1,waiting,2
9,6,949.7,548.4,2413,-281,2131,1,waiting,2
9,7,941.2,522.5,217,-145,71,1,waiting,2
9,7,946.3,542,2053,79,2131,2,waiting,2
9,8,943.9,550.1,2329,-280,2048,1,waiting,2
9,9,943.7,548.6,2327,-279,2047,1,waiting,2
9,10,946.9,546.4,2329,-281,2047,1,waiting,2
9,11,929.4,556.6,2245,-280,1964,1,waiting,2
9,12,949.4,544.8,2166,-35,2130,1,waiting,2
9,13,955.1,541.9,2413,-281,2131,1,waiting,2
9,14,1050.7,477.8,167,189,355,1,waiting,2
9,14,1000.5,534.2,447,376,822,2,waiting,2
9,14,949.9,536,245,837,1081,3,waiting,2
9,15,952.7,547.2,2396,-281,2114,1,waiting,2
9,16,952,543.2,2245,-280,1964,1,waiting,2
9,17,942.7,547.6,289,-281,7,1,waiting,2
9,17,953,539.9,1856,26,1881,2,waiting,2
9,18,956.9,541,2496,-281,2214,1,waiting,2
9,19,935.3,550.9,298,-280,17,1,waiting,2
9,19,947.8,548,2097,35,2131,2,waiting,2
9,20,952.7,542.9,2246,-281,1964,1,waiting,2
9,21,933.4,552.6,297,-280,16,1,waiting,2
9,21,945.1,545.2,1858,26,1883,2,waiting,2
9,21,944.7,534.2,53,1995,2047,3,targOff,2
9,22,948.5,544.4,2226,-11,2214,1,waiting,2
9,23,946.9,547,1905,-23,1881,1,waiting,2
9,24,931.1,541.5,289,-280,8,1,waiting,2
9,24,950,545.2,1866,16,1881,2,waiting,2
9,25,946.8,547.7,2495,-280,2214,1,waiting,2
9,26,941.2,535.7,287,-280,6,1,waiting,2
9,26,955.6,543.1,1783,15,1797,2,waiting,2
9,27,955.2,545.3,2414,-282,2131,1,waiting,2
9,28,947.4,543.5,2497,-282,2214,1,waiting,2
9,29,946.4,546.5,687,-280,406,1,waiting,2
9,29,951.7,525.7,627,538,1164,2,waiting,2
9,30,950.3,542.1,2312,-280,2031,1,waiting,2
9,31,949.9,544.3,2413,-281,2131,1,waiting,2
